author;rating;komentar;label
matus2020;5;Kain nya tebel kaku Dan kalau dicuci langsung lecek Bagian kera sama tangan juga gak bagus, gak kayak kemeja2 pada umumnya, ini kecil bgt kera dan lengan kancingnya Kecewa sih tp yauda gpp;produk:neg
l*****v;5;Pengiriman cepat Aman juga  Harga terjangkau Terimakasih seller;"pengiriman:pos;harga:pos"
n*****8;5;Kemeja nya baguss, gausah diragukan lagii lahh yaaa produk m231 mah mantull semua. Maaf gada foto produknya karna udah dikasih ke pacar haha.;produk:pos
f*****a;5;Barangnya asli bagus banget, ini diminta beliin orang alhamdulillah orangnya suka;produk:pos
kanita220418;5;Pesanan sudah sampai, baru x ini beli disini tp langsung jatuh cinta. Dapat promo 12 dong. Bahannya halus dan adem. Makasih seller;produk:pos
lexajauhari;5;Bahannya bagus harga murah semoga cocok sama suamiku pengiriman cepat;"produk:pos;harga:pos;pengiriman:pos"
nurtantiagustin;5;Bagusss bangettt. Packing rapih, pengiriman cepat!!! Tengkyuu;pengiriman:pos
muhammadanggie83;5;hahaha iya gapapa kok bisa ya mas dijawab pada saat itu juga udah punya pacar yang baik dan benar;respon:pos
n*****5;5;Bajunya bagus Bahannya juga adem Selalu pesan baju disini ga pernah ngecewakan;produk:pos
ana_nsk1210;5;Bagus banget udah gitu rapi gak usah di ragukan lagi, udah mantapp;produk:pos
bangdani17;5;Mantap barang sesuai pesenan, murah barang bagus, ori, penjual ramah, FAST respon, kurir baik dan manatappppppp bener;"produk:pos;harga:pos;lapak:pos;pengiriman:pos"
i*****6;5;baguss, recomendeddd, wrna nyaa jugaa baguss, top pkoknyaa! thx seller!;produk:pos
r*****4;5;Mkasi kak baju nya sampe dgn selamat... Permintaan suami minta kemeja hitam, mudah2 an suami suka...;respon:pos
v*****3;5;Pengiriman cepat, ukuran s aja gede banget wkwk harusnya pesen yg XS ini soalnya S masih kegedean??tapi gapapa sih bagus banget ????;"pengiriman:pos;produk:pos"
enilarastuti77;5;Customer ak suka dan bagus rekomendasi bgt kok ini kemejanya;produk:pos
maringgih_kuntoro;5;Toko sangat amanah... Bahan bagus dan kualitas premium Pengiriman agak lama karena ada even 12.12 tapi gak papa dan kurirnya allhamdullilah baik... Ukuran sesuai pesanan, tapi ukuran XXL kegedean ternyata ?? Terimakasihhhh....;"lapak:pos;produk:pos;pengiriman:pos"
herdiansyahtaher;5;kualitas produk sangat baik, pengiriman juga cepat, terima ksih;"produk:pos;pengiriman:pos"
cheetahfitri;5;Over all semuanya keren.. gak nyesel deh.. bahannya bagus.;respon:pos
mubaraqmordan;5;BAGUS BANGET AAAAAA dapat potongan harga jugaa???? suka suka???? bakal langganan sih;"produk:pos;harga:pos"
intansariii01;5;Bahan bagus pengiriman cepat nyaman pas di badan, bakal langganan;"produk:pos;pengiriman:pos"
s*****2;5;Barang sesuai dengan pemesanan. Packing nya oke, kondisi barangnya baik. Aku suka. Okeeeeeee bgt lah;respon:pos
i*****2;5;Barang sesuai dengan ekspektasi walaupun pengiriman agak lama;"produk:pos;pengiriman:neg"
tamam.arrosyid;5;Bahannya sangat bagus, memuaskan. Recomended banget pokonya.;produk:pos
m*****_;5;bahannya bagus, kualitasnya juga oke, tapi sayang ngepas banget dan respon penjualnya agak lama;"produk:pos;lapak:neg"
yenniastari2712;5;Bagus pas bngt di badannnn bahanya jg baguss kok selamat sampai tujuan dann senpurnaahh;produk:pos
m*****p;5;Bajunya sudah sampai... orderan ke 2 ku, Bagus banget,, realpict dan sesuai deskripsi Thanks seller,,,.......;produk:pos
a*****r;5;Barang baru datang, lumayan bagus tapi agak kebesaran sedikit, tapi gapapa daripada kekecilan gak bisa dipake;respon:pos
yonalisaa;5;Bajunya bagus, jahitan jgn ditanya pasti bagus. Tp kainnya gk jatuh gitu;produk:pos
a*****6;5;Mantapp, terima kasih seller, semoga laris manis;respon:pos
y*****4;5;Alhamdulillah barang sudah sampai dengan selamat dan terima kasih buat penjual ya dan bang kurirnya ?? Ini udah langganan beli baju kemeja hitam bagus Bgt ?? ini udah beli yg ke 3 X yaa terimakasih kak ?? semoga awet baju yaa walaupun harga yaa sedikit mahal tapi kualitas no 1 Top markotop sesuai ??;respon:pos
t*****l;5;Barang bagus, pengiriman cepat harga murah , best seller????;"produk:pos;pengiriman:pos;harga:pos"
desvirrabela;5;Bagus bgt syukaa bahan adem untung press body , thx sellerrr;produk:pos
maretamjh;5;Bagus barang sesuai dgn gambar, ukurannya juga sesuai dgn deskripsi;produk:pos
silviaa.06;5;bagus suka, Alhamdulillah kebagian harga 99rb, cepet banget sampe nyaaaaa;"produk:pos;pengiriman:pos"
a*****e;5;mantap bahanya adem pengiriman cepat rekomended harga terjangkau;"produk:;pengiriman:pos;harga:pos"
happylovy;5;Maaf foto tidak semua diskripsi gambar . Barang bagus sudah di terima;produk:pos
putribl2405;5;Bahan bagus banget bagus pokoknya rekomen banget makasih seller;produk:pos
a*****1;5;Bajunya keren bgt, bahannya adem, pengiriman danpacking cepat..thx seller;"produk:pos;pengiriman:pos"
farid_hendar;5;mantap, halus bahannya, adem, jahitannya rapi, pas di BB 75;produk:pos
asmahabibah;5;Karena yang dikirimin kemeja ini suka bgt sama barangnya jadi aku kasih bintang 5. Walau lucunya dia malah bingung gmn cara gulung lengan kemeja XD ahh kawaii;produk:pos
e*****I;5;Kualitas produk mantap, poroduk asli, harga produk baik dan pengiriman cepat;"produk:pos;harga:pos;pengiriman:pos"
kokom.komalasari12;5;Kemejanya oke pokoknya gk nyesel deh belinya kecepatan pengirimannya jg oke bngt 1 hari udh nyampe rumah aja,makasih ya!;"produk:pos;pengiriman:pos"
linda_herawati26;5;Bahan super adem dan nyaman dipakai, aslinya suka banget gak kecewa sama sekali, respon penjual baik, pengiriman juga cepat.. next order di online shop m231;"bahan:pos;lapak:pos;pengiriman:pos"
moch1217;5;bahan bagus adem dipake dan ukuran pas banget sayangnya pengirimannya lama,checkout hari saptu pagi,dikirimnya senin datangnya hari kamis??????;"produk:pos;pengiriman:neg"
s*****I;5;Thank u seller semoga semakin amanah dan laris aamiin yaa robbal'alaamiin;lapak:pos
n*****m;5;Terima kasih barang sangat real pict bahan juga adem . Thanks yah .;produk:pos
yonggaaa;5;Bahannya okelah buat harga segitu respon juga cepat rekomendasi deh;"produk:pos;lapak:pos"
setio1111;5;Bagus bangett gede sii cocok buat aa aku yang tinggi uk xl reconend;produk:pos
nazdiarifin;5;Kualitas produk sangat baik, harga produk sangat baik, pengiriman sangat cepat;"produk:pos;harga:pos;pengiriman:pos"
lessahudriyah;5;Sebagus ini kan kemejanya Tankyouu ????;produk:pos
s*****n;5;Bahan bagus lembut dan tidak panas juga pengiriman cepat mantap Pokoknya;"produk:pos;pengiriman:pos"
m*****0;5;Mantap kali lah produk kalian nih dari atas sampai bawah jaitannya rapiiiiiii skaliiiii;produk:pos
b*****t;5;kedua kalinya beli disni bahannya bagus banget gk nyesel deh..;produk:pos
a*****2;5;Alhamdulillah paketnya udah sampai tapi saya g punya fotonya karna itu untuk kk ipar saya tp katanya semua sesuai trima ksih yaa;respon:pos
kingcobracilik;5;Sesuai deskripsi dan gambar..?????? Adem dipakenya..pengiriman cepet Recomended shop Thanks seller;"produk:pos;pengiriman:pos"
a*****n;5;Pengirman oke, kualitas oke, cuma XXLnya gede banget di lengan. Tp oke lah. Thanks seller!;"pengiriman:pos;produk:pos"
andremonoarfa;1; kalau memang tidak ada BONUS 2 KAOS tidak usah menipu pembeli.. Terus ditanya sampai sekarang tidak ada respon. kualitas produk juga kurang baik.. SEMOGA TIDAK ADA LAGI YG TERTIPU. ??;bonus:neg
m*****e;1;Udah langganan beli ke 2x nya malah bikin kapok di keterangan size s panjang 72 tapi yg datang 70cm kaya ukuran xs . Udah kancingan mau lepas 1 ada yang sobek di bagian ketiak sedikit produk ga bermutu Harga doang mahal Kualitas 0;produk:neg
y*****0;1;Sudah jelas ada tanda barang reject tapi tetep aja dikirim, diterima dalam keadaan ada solasi dan waktu dibuka ada sobek dikit awalnya penjual merespon dan mnta no spay  tapi pas dikasih engga direspon lagi sampe sekarang gaada respon;"produk:neg;repon:neg"
gelasan_huwi;1;harga segitu shi yaaaaa bahan kain nya ga bagus nyesel;produk:neg
vankartiwa;1;Gk hbis pikir sama ni admin toko udh nunggu seminggu pesanan dibatalkan alasan WILAYAH TIDAK TERJANGKAU  juga alasan di chat size SUDAH HABIS. Kapok deh belanja disini pelayananya AMATIRAN semoga admin2 dsini mendapat hidayah biar yg lain gk ngalemin sperti saya. Thanks mamang kurirr;respon:neg
ajho17;1;Jahitan pada lengannya tidak rapi.Barang rijek kok masih di jual;produk:neg
veraazlina99;1;Bagus sesuai dengan harga nya Tapi untuk ukuran L besar banget;"harga:pos;ukuran:neg"
alqurantulis.official.store;1;Aku berniat tuker barang krn kegedean malah di tolak. Kan aku udah beli lagi checkout lagi. Barang sudah aku kirim ke seller ko dikembalikan lagi. 3X ongkir. Kalo sudah begini aku beli double ga sesuai dengan ukuran pula. Kecewa saya. Padahal barang ga ada cacat dr ku.  Ko dikirim ke aku lg.;respon:neg
aris.rahman.1481;1;Kecewa saya belanja ditoko ini bahannya tipis sakunya robek pula..;produk:neg
teguhugetsfakemothai;1;PESAN M DIKIRIM L JADI KEBESARAN MANA MAU DI PAKE BESOK!;respon:neg
deraino;2;Bajunya bagus. Kualitas bagus. Tapi disayangkan respon admin penjualnya yg kurang tegas. Terimakasih sudah memberikan pelayanan terbaik.;"produk:pos;kualitas:pos;respon:neg"
satria_ashari;2;AMAT SANGAT DI SAYANGKAN sebenarnya produk bajunya bagus cuman penjualnya yg kurang dan pengiriman over time apakah seperti ini layak masuk shopee mall ? saya rasa tidak bajunya bagus rapi gk ada kendala ???????? tapi pelayanan ??;"produk:pos;respon:neg;pengiriman:neg"
u*****r;2;Kecewa ngg sesuai expetasi dr harga'nya aj udh mahal d kira'in barang datang udh bisa langsung pake ini harus d rombak lg karena ad bagian yg ke gedean kaya lengan y dr bahan lumayan'lah walau aga tipis tp dengan harga segitu harus'nya bahan'nya lebih bagus aku tertipu dengan harga discon'nya ???;"harga:neg;produk:neg;bahan:neg"
t*****5;3;Pesannya hitam dateng coklat gosong.kecewa bgt ya.beda bgt d bandingin sm kemeja hitam yg lain bner2 ketara bedanya;respon:neg
panglimaazhar;3;Salah ambil ukuran sih. Krna di keterangan xs panjang 70 kyk biasa aku pkai. Tpi pas sampai gak kyk 70 biasa.malah kependekkan. Jdi nya pas  kali bajunya.;detail-produk:neg
rijalone_01;3;Bahan katun gampang lusuh adem tapi gampang lusuh itu susal licinnya Mon maaf kam;bahan:neg
zakya_hikaru;3;Bahannya agak kaku. Lumayan panas.??Harus di setrika. Agak kecewa?? beli buat bb 50 tinggi 170 . Size M pas .;bahan:neg
delisahera;3;Bahannya tipis dan nerawang warna hitamnya ga pekat kaya pudar gitu. Didalem paketnya dapet masker batik. ;bahan:neg
v*****a;3;Dulu beli yg size S kekecilan tpi kancingnya ada lebel m231nya klo yg ini gk ada lebel m231nya. Gk konsisten.... but its ok thanks seller n mamang kurirr;respon:neg
fajarharahapananda;3;Jijjjjjjjjkknrnejej jjejejjrjje menjembataninya nenek-nenek dewasa yang di bayar pak Ahmad Dahlan;komen:neg
t*****o;3;Kmrn order yg coklat bahannya bagus tebal & lembut.. yg hitam ini beda bahan ternyata.. lebih tipis gampang kusut dan rada bikin gatal.. gak senyaman yg coklat.. apa karna beli pas diskon ya? ;respon:neg
meiiinurr;3;Jahitannya gk rapiii semrawuttt benang e .Warnanya juga hitamnya kurang pekatt Hitam mbulakkk Beda sama kemeja yg aku punya hitam pekat .Gk sukaa gk sukaaaa;produk:neg
liaxoxo12;3;Bahannya gak tipis jg gak tebel enak juga tapi kukiri L udah kecil ternyata kebesaran tapi bagus kok makasih kak??;produk:pos
y*****g;3;Kurang puas. Bahan tipis. Tidak sesuai ekspetasi. Terimakasih�;produk:neg
rahmameilisa;3;Barang cepet sampai dan sesuai pesanan tpi agak tipisssssya udah gpp lh ya thankyou;"pengiriman:pos;bahan:neg"
diah1485;3;Terima kasih..... barang sudah sampai..... respon cepat pengiriman cepat;respon:pos
eckoboyor;3;Bahannye tipis kaya kemeja 50 rebuan. Nyesel ah. Ukurannya juga gombrang ga sesuai describe. Kaga jelas emang barang flash sale.;produk:neg
s*****5;3;Lumayan;produk:pos
kangwasis;3;Bagus pas di badan Terimakasih;produk:pos
g*****0;3;Bahan nya tidak nyaman dipakai panas;produk:neg
andisahputra1;3;Mantap;produk:pos
w*****w;3;Terimakasih barang nya sudah sampai kualitas barangnya lumayan bagus sesuai dengan harga pekingan barang nya juga Rapi terimakasih;"produk:pos;packing:pos"
rismawatihidayat;3;Kemeja nya biasa standartnya yah lumayan lah ukuran m nya besar yah lumayan jauh dr ukuran yang ada;"produk:pos;detail-produk:neg"
u*****s;3;Jhhjhgggfffgghhhhhhhhhhhhjhhhhuutfccfghhjjujnhjjyhhyyfghyyhhhjjjyhhhghhjhhh;komen:neg
ajiprayoga165;3;Lengannya kebesaran dan panjang banget kurang puas;detail-produk:neg
justhamzah;1;Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot brani kasih diskon gede harus nya nerima resiko!;respon:neg
justhamzah;1;Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot brani kasih diskon gede harus nya nerima resiko!;respon:neg
justhamzah;1;Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot brani kasih diskon gede harus nya nerima resiko!;respon:neg
justhamzah;1;Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot brani kasih diskon gede harus nya nerima resiko!;respon:neg
ferarypandie;1;Barang sonde sesuai padahal erigo bilangnya terkenal ko gini siihh parahhh lain kerja yang betul;produk:neg
ferarypandie;1;Barang sonde sesuai padahal erigo bilangnya terkenal ko gini siihh parahhh lain kerja yang betul;produk:neg
ferarypandie;1;Barang sonde sesuai padahal erigo bilangnya terkenal ko gini siihh parahhh lain kerja yang betul;produk:neg
ferarypandie;1;Barang sonde sesuai padahal erigo bilangnya terkenal ko gini siihh parahhh lain kerja yang betul;produk:neg
wirantiputri28;1;BUKAN MASALAH KUALITASNYA YA!  INI MASALAH PENGAJUAN DAN PENGEMBALIAN DANA KARNA SAYA INGIN MERUBAH RINCIAN PEMESANAN. TAPI  TIDAK ADA KEBIJAKAN DARI SELER  RESPON CHT TIDAK ADA!  SY SUDH MENGIRIM PESAN VIA STORE INSTAGRAM DAN SELER INSTAGRAM MENYARANKAN UNTK MENGEMBALIKAN BRG SMPAI. TP TTP  DITOLK;respon:neg
delsyeelvira;1;Saya diminta untuk menukar dengan sesama jenis produk. Tapi saya tidak mau karena pas di awal saya mesen tidak ada pemberitahuan kalo untuk ukuran yg saya minta habis stok! Akhirnya saya mengajukan pengembalian dana tp tetep blm ada respon selanjutnya!;respon:neg
u*****f;1;Pengiriman lama. Tidak sesuai dengan ekspektasi   bahannya buluan. Harusnya kan kalau baru ke gini Dielus k tangan kan halus ini mah engga. kasar bgt.cukup kecewa di bahan buluan;"pengiriman:neg;produk:neg"
rezafadilah12345;1;Lama pengirimannya barang juga berbulu baru di pake seharu;"pengiriman:neg;produk:neg"
y*****n;2;Bagus sih tapi sayang banget.. Brand sekelas erigo ini gak bisa ngejaga kualitas. Dari jahitan yg kurang kuat banyak benang yg belum dibuang ditambah lubang leher gak presisi jadi kalo dipake miring terus label juga gak ditengah malah dipinggir. Tingkatin lagi kualitas dan QC nya. ;produk:neg
y*****n;2;Bagus sih tapi sayang banget.. Brand sekelas erigo ini gak bisa ngejaga kualitas. Dari jahitan yg kurang kuat banyak benang yg belum dibuang ditambah lubang leher gak presisi jadi kalo dipake miring terus label juga gak ditengah malah dipinggir. Tingkatin lagi kualitas dan QC nya. ;produk:neg
b*****h;2;luarnya bagus lembut bahanya tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor di cuci juga sama masih aja nempel;produk:neg
y*****n;2;Bagus sih tapi sayang banget.. Brand sekelas erigo ini gak bisa ngejaga kualitas. Dari jahitan yg kurang kuat banyak benang yg belum dibuang ditambah lubang leher gak presisi jadi kalo dipake miring terus label juga gak ditengah malah dipinggir. Tingkatin lagi kualitas dan QC nya. ;produk:neg
b*****h;2;luarnya bagus lembut bahanya tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor di cuci juga sama masih aja nempel;produk:neg
y*****n;2;Bagus sih tapi sayang banget.. Brand sekelas erigo ini gak bisa ngejaga kualitas. Dari jahitan yg kurang kuat banyak benang yg belum dibuang ditambah lubang leher gak presisi jadi kalo dipake miring terus label juga gak ditengah malah dipinggir. Tingkatin lagi kualitas dan QC nya. ;produk:neg
b*****h;2;luarnya bagus lembut bahanya tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor di cuci juga sama masih aja nempel;produk:neg
b*****h;2;luarnya bagus lembut bahanya tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor di cuci juga sama masih aja nempel;produk:neg
nariya31_;2;Lama aja dari penjual nya . tapi kualitas nya OKEEE bingittttsssssss;"pengiriman:neg;produk:pos"
nariya31_;2;Lama aja dari penjual nya . tapi kualitas nya OKEEE bingittttsssssss;"pengiriman:neg;produk:pos"
nariya31_;2;Lama aja dari penjual nya . tapi kualitas nya OKEEE bingittttsssssss;"pengiriman:neg;produk:pos"
nariya31_;2;Lama aja dari penjual nya . tapi kualitas nya OKEEE bingittttsssssss;"pengiriman:neg;produk:pos"
tiurmaida07;2;Bahannya bagus tapi ukuran S lumayan gedek kek ukuran M?? kaosnya tipis banget ah kecewa;"bahan:pos;detail-produk:neg;produk:neg"
w*****4;2;gampang ngerajut gini bahannya padahal sweater cuma dipake sewajarnya ga di pake gesek gesek intinya gasuka sih bahannya ngerajut gini;produk:neg
r*****a;2;Orderan ke 2 lumayan kecewa bahan di dalam baju nya berbulu kyak kapas di pake pasti lengket2 di badan �;produk:pos
w*****4;2;gampang ngerajut gini bahannya padahal sweater cuma dipake sewajarnya ga di pake gesek gesek intinya gasuka sih bahannya ngerajut gini;produk:neg
r*****a;2;Orderan ke 2 lumayan kecewa bahan di dalam baju nya berbulu kyak kapas di pake pasti lengket2 di badan �;produk:pos
r*****a;2;Orderan ke 2 lumayan kecewa bahan di dalam baju nya berbulu kyak kapas di pake pasti lengket2 di badan �;produk:pos
ariefkhoer;3;Packing bagus..rapih..sayangnya pada bagian belakang bawah. Kain sudah berbulu..seperti sudah terpakai lama...dan saya KECEWA..untuk sekelas ERIGO ...Masih lemah di QC nya.....intinya tidak seperti yg saya harapkan..;"packing:;produk:neg"
nisainayah2102;3;Warnanya beda yg satu hijau olive yg satu agak tua hijaunya??;respon:neg
irvanrismawanto;3;Baguslah lama respon cht ya sama pengirimannya pesan tgl 30 kirim tgl 6 kesel sama pengirimannya;respon:neg
maulanas;3;Size M di pake pas;size:pos
andisugara;3;Bahan katun lembut bagus dan tidk panas;bahan:pos
firzaann3;3;Harga terjangkau utk kualitas produk spt itu;harga:pos
bastian777;3;Review apa adanya ;respon:neg
nibrasun1;3;Gambar tdk sesuai karna baju sedang di cuci dan saya mau mengumpulkan koin. Thx seller saya udah order 2x??;respon:neg
k*****a;5;alhamdulillah pas;size:pos
agilmandiri;5;Iyora adik terima kasih re. Klo wati sih respon minggu ake. Re. Ta lanjut pra kasus re. Arieee. Wati wa.u ta kabiri ba sia ma ringgu ede ndai nii.;respon:pos
s*****7;5;Alhamdulillah pesanan udah sampai dengan baik dan sesuai dengan pesanan;pengiriman:pos
raniatika18;5;Pengiriman nya snagat2 cepett;pengiriman:pos
s*****i;5;Semoga cocok ya Untuk kemeja nya;respon:pos
r*****i;5;Barang sudah sampai di terima di rumah dan barang bangus itu;baju:pos
c*****a;5;Pengiriman cepat packing aman cuma blm dibuka soalnya sengaja buat kado semoga bagus ya produk terimakasih;"pengiriman:pos;packing:pos"
r*****5;5;Baju nya bagus....;baju:pos
d****d;5;Di pake nya Pas;size:pos
e*******r;5;Bahan nya bagus;bahan:pos
h*****4;5;Jahitan rapi;jahitan:pos
r*****6;5;Udah sampe kemejanya..bagus kemejanya.. suami saya suka.. makasih yaa seller;produk:pos
bopullll;5;Rekomended seller pokoknya;respon:pos
itabobby;5;Pas banged ma suamiku...barangnya bagus ..kereen dah pokoknya..tq kk;"size:pos;baju:pos"
n*****1;5;Kualitas produk baik;produk:pos
delumasirait;5;Bagus semoga cocok dipakai ......;baju:pos
q****3;5;Ukuran M untuk tinggi 172 dan berat 68;respon:pos
l*****i;5;Kemejanya bagus;produk:pos
asti_isnaw;5;Bahan adem ;produk:pos
m*****a;5;Pokonya bagus..recommended..emang barang branded..top dehh terimakasih seller..;baju:pos
p*****p;5;bagus realpict;"baju:pos;foto:pos"
im._4m;5;Barang bagus seller ramah sopan keren banget kualitas terjamin;"baju:pos;service:pos"
widyasinaga1;5;Bagus bangettttt heran aku sukakkkk dehhhh lope lopeeeeeeeeeeeeeee hwaaaaaaaaa murah lagiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii;"baju:pos;harga:pos"
r*****_;5;Toplah kain halus dingin;produk:pos
rizal_fatma11;5;Alhamdulillah Barang Sudah Sampai Meskipun Lama Pengiriman Dan Pengemasan Tapi Sangat Memuaskan TERIMAKASIH;"pengiriman:neg;packing:neg"
hanniifa_;5;Kualitas produk baik;kualitas:pos
afrizal_a6;5;Harga produk baik;harga:pos
dealone33;5;Pengiriman produk baik;pengiriman:pos
novi17111995;5;Bagusss kemejanya.....???????????????? Thanks seller..........;baju:pos
